0,xi,eta
1,0.036114,-0.006367
2,0.035928,-0.007428
3,0.035739,-0.008486
4,0.035553,-0.009544
5,0.035367,-0.010603
6,0.035181,-0.011661
7,0.034994,-0.012719
8,0.034806,-0.013778
9,0.034619,-0.014836
10,0.034433,-0.015894
11,0.034247,-0.016956
12,0.034061,-0.018014
13,0.033872,-0.019072
14,0.033686,-0.020131
15,0.0335,-0.021189
16,0.033314,-0.022247
17,0.033128,-0.023306
18,0.032939,-0.024364
19,0.035056,-0.006181
20,0.034867,-0.007239
21,0.034681,-0.008297
22,0.034494,-0.009358
23,0.034308,-0.010417
24,0.034122,-0.011475
25,0.033933,-0.012533
26,0.033747,-0.013592
27,0.033561,-0.01465
28,0.033375,-0.015708
29,0.033189,-0.016767
30,0.033,-0.017828
31,0.032814,-0.018886
32,0.032628,-0.019944
33,0.032442,-0.021003
34,0.032256,-0.022061
35,0.032067,-0.023119
36,0.031881,-0.024178
37,0.033997,-0.005994
38,0.033808,-0.007053
39,0.033622,-0.008111
40,0.033436,-0.009169
41,0.03325,-0.010228
42,0.033064,-0.011289
43,0.032875,-0.012347
44,0.032689,-0.013406
45,0.032503,-0.014464
46,0.032317,-0.015522
47,0.032131,-0.016581
48,0.031942,-0.017639
49,0.031756,-0.018697
50,0.031569,-0.019758
51,0.031383,-0.020817
52,0.031197,-0.021875
53,0.031008,-0.022933
54,0.030822,-0.023992
55,0.032936,-0.005808
56,0.03275,-0.006867
57,0.032564,-0.007925
58,0.032378,-0.008983
59,0.032192,-0.010042
60,0.032003,-0.0111
61,0.031817,-0.012161
62,0.031631,-0.013219
63,0.031444,-0.014278
64,0.031258,-0.015336
65,0.031069,-0.016394
66,0.030883,-0.017453
67,0.030697,-0.018511
68,0.030511,-0.019569
69,0.030325,-0.020628
70,0.030136,-0.021689
71,0.02995,-0.022747
72,0.029764,-0.023806
73,0.031878,-0.005622
74,0.031692,-0.006681
75,0.031506,-0.007739
76,0.031319,-0.008797
77,0.031131,-0.009856
78,0.030944,-0.010914
79,0.030758,-0.011972
80,0.030572,-0.013031
81,0.030386,-0.014092
82,0.030197,-0.01515
83,0.030011,-0.016208
84,0.029825,-0.017267
85,0.029639,-0.018325
86,0.029453,-0.019383
87,0.029264,-0.020442
88,0.029078,-0.0215
89,0.028892,-0.022561
90,0.028706,-0.023619
91,0.030819,-0.005433
92,0.030633,-0.006494
93,0.030447,-0.007553
94,0.030261,-0.008611
95,0.030072,-0.009669
96,0.029886,-0.010728
97,0.0297,-0.011786
98,0.029514,-0.012844
99,0.029328,-0.013903
100,0.029139,-0.014961
101,0.028953,-0.016022
102,0.028767,-0.017081
103,0.028581,-0.018139
104,0.028394,-0.019197
105,0.028206,-0.020256
106,0.028019,-0.021314
107,0.027833,-0.022372
108,0.027647,-0.023431
109,0.029761,-0.005247
110,0.029575,-0.006306
111,0.029389,-0.007364
112,0.0292,-0.008425
113,0.029014,-0.009483
114,0.028828,-0.010542
115,0.028642,-0.0116
116,0.028456,-0.012658
117,0.028267,-0.013717
118,0.028081,-0.014775
119,0.027894,-0.015833
120,0.027708,-0.016894
121,0.027522,-0.017953
122,0.027333,-0.019011
123,0.027147,-0.020069
124,0.026961,-0.021128
125,0.026775,-0.022186
126,0.026589,-0.023244
127,0.028703,-0.005061
128,0.028517,-0.006119
129,0.028331,-0.007178
130,0.028142,-0.008236
131,0.027956,-0.009294
132,0.027769,-0.010356
133,0.027583,-0.011414
134,0.027397,-0.012472
135,0.027208,-0.013531
136,0.027022,-0.014589
137,0.026836,-0.015647
138,0.02665,-0.016706
139,0.026464,-0.017764
140,0.026275,-0.018825
141,0.026089,-0.019883
142,0.025903,-0.020942
143,0.025717,-0.022
144,0.025531,-0.023058
145,0.027644,-0.004875
146,0.027458,-0.005933
147,0.027269,-0.006992
148,0.027083,-0.00805
149,0.026897,-0.009108
150,0.026711,-0.010167
151,0.026525,-0.011225
152,0.026336,-0.012286
153,0.02615,-0.013344
154,0.025964,-0.014403
155,0.025778,-0.015461
156,0.025592,-0.016519
157,0.025403,-0.017578
158,0.025217,-0.018636
159,0.025031,-0.019694
160,0.024844,-0.020756
161,0.024658,-0.021814
162,0.024469,-0.022872
163,0.026586,-0.004689
164,0.026397,-0.005747
165,0.026211,-0.006806
166,0.026025,-0.007864
167,0.025839,-0.008922
168,0.025653,-0.009981
169,0.025464,-0.011039
170,0.025278,-0.012097
171,0.025092,-0.013158
172,0.024906,-0.014217
173,0.024719,-0.015275
