0,xi,eta
1,0.0,0.0
2,-0.001039,-0.003717
3,0.002806,-0.002711
4,0.003803,0.000944
5,0.004964,0.004633
6,0.007683,0.002011
7,0.006569,-0.001761
8,0.005592,-0.005614
9,0.001853,-0.006586
10,-0.002194,-0.007722
11,0.001044,0.003608
12,-0.002881,0.002731
13,-0.003928,-0.001006
14,-0.005136,-0.004906
15,-0.008197,-0.002025
16,-0.006919,0.001878
17,-0.00585,0.005742
18,-0.001844,0.006617
19,0.002206,0.007686
20,0.006281,0.009083
21,0.003511,0.011928
22,-0.000681,0.010739
23,-0.004764,0.009819
24,-0.008919,0.009028
25,-0.010017,0.004925
26,-0.011308,0.000844
27,-0.0126,-0.0032
28,-0.009533,-0.006189
29,-0.006547,-0.009125
30,-0.003522,-0.012131
31,0.000831,-0.010819
32,0.00485,-0.009631
33,0.008733,-0.008692
34,0.009594,-0.004675
35,0.010642,-0.000714
36,0.011853,0.003294
37,0.009097,0.005889
