,symbol,symbol_latex,long_name,power,factor
q,q,\text{q},quecto,-30,1e-30
r,r,\text{r},ronto,-27,1e-27
y,y,\text{y},yocto,-24,1e-24
z,z,\text{z},zepto,-21,1e-21
a,a,\text{a},atto,-18,1e-18
f,f,\text{f},femto,-15,1e-15
p,p,\text{p},pico,-12,1e-12
n,n,\text{n},nano,-9,1e-09
u,u,\mu,micro,-6,1e-06
m,m,\text{m},milli,-3,1e-03
c,c,\text{c},centi,-2,1e-02
d,d,\text{d},deci,-1,1e-01
da,da,\text{da},deca,1,1e+01
h,h,\text{h},hecto,2,1e+02
k,k,\text{k},kilo,3,1e+03
M,M,\text{M},mega,6,1e+06
G,G,\text{G},giga,9,1e+09
T,T,\text{T},tera,12,1e+12
P,P,\text{P},peta,15,1e+15
E,E,\text{E},exa,18,1e+18
Z,Z,\text{Z},zetta,21,1e+21
Y,Y,\text{Y},yotta,24,1e+24
R,R,\text{R},ronna,27,1e+27
Q,Q,\text{Q},quetta,30,1e+30
