symbol,symbol_latex,name,factor
q,\text{q},quecto,1e-30
r,\text{r},ronto,1e-27
y,\text{y},yocto,1e-24
z,\text{z},zepto,1e-21
a,\text{a},atto,1e-18
f,\text{f},femto,1e-15
p,\text{p},pico,1e-12
n,\text{n},nano,1e-09
u,\mu,micro,1e-06
m,\text{m},milli,1e-03
c,\text{c},centi,1e-02
d,\text{d},deci,1e-01
da,\text{da},deca,1e+01
h,\text{h},hecto,1e+02
k,\text{k},kilo,1e+03
M,\text{M},mega,1e+06
G,\text{G},giga,1e+09
T,\text{T},tera,1e+12
P,\text{P},peta,1e+15
E,\text{E},exa,1e+18
Z,\text{Z},zetta,1e+21
Y,\text{Y},yotta,1e+24
R,\text{R},ronna,1e+27
Q,\text{Q},quetta,1e+30
