,location,country,notes,latitude,longitude,altitude,timezone,training_start,training_end,training_years
boolardy,"Boolardy, Western Australia",Australia,"MRO, SKA",-26.697,116.631,395,Australia/Perth,2018-01-01,2023-06-19,5.5
pic_de_bure,"Plateau de Bure, Haute-Alpes",France,NOEMA,44.634,5.908,2552,Europe/Paris,2018-01-01,2023-06-20,5.5
cambridge,"Cambridge, Massachusetts",USA,"Harvard University, MIT",42.374,-71.111,8,America/New_York,2018-01-01,2023-06-19,5.5
chajnantor,"Llano de Chajnantor, Antofagasta",Chile,"ACT, ALMA, APEX, ASTE, SO, TAO",-23.006,-67.759,5040,America/Santiago,1968-09-01,2023-06-19,54.8
effelsberg,"Effelsberg, North Rhine-Westphalia",Germany,ERT,50.524,6.883,319,Europe/Berlin,2014-09-11,2023-06-19,8.8
mount_graham,"Mount Graham, Arizona",USA,"LBT, VATT",32.702,-109.89,3178,America/Phoenix,2018-01-01,2023-06-20,5.5
green_bank,"Green Bank, West Virginia",USA,"Green Bank Observatory, MUSTANG2",38.433,-79.84,807,America/New_York,2006-01-01,2023-06-19,17.5
mauna_kea,"Mauna Kea, Hawaii",USA,Mauna Kea Observatory,19.823,-155.475,4205,Pacific/Honolulu,2006-01-01,2023-06-19,17.5
meerkat,"Meerkat National Park, Northern Cape",South Africa,"HERA, MeerKAT, SKA",-30.713,21.443,1075,Africa/Johannesburg,2013-01-30,2023-06-19,10.4
metsahovi,"Metsähovi, Kirkkonummi",Finland,Metsähovi Radio Observatory,60.218,24.394,90,Europe/Helsinki,2018-01-01,2023-06-18,5.5
narrabri,"Narrabri, New South Wales",Australia,ATCA,-30.314,149.562,237,Australia/Sydney,2018-01-01,2023-06-18,5.5
sierra_negra,"Sierra Negra, Puebla",Mexico,"HAWC, LMT",18.986,-97.314,4640,America/Mexico_City,2018-01-01,2023-06-20,5.5
owens_valley,"Owens Valley, California",USA,Owens Valley Radio Observatory,37.232,-118.295,1222,America/Los_Angeles,2012-01-01,2023-06-19,11.5
cerro_pachon,"Cerro Pachón, Coquimbo",Chile,"Gemini, LSST, SOAR",-30.244,-70.74,2663,America/Santiago,2018-01-01,2023-06-19,5.5
cerro_paranal,"Cerro Paranal, Antofagasta",Chile,VLT,-24.628,-70.405,2635,America/Santiago,2012-12-23,2023-06-18,10.5
qitai,"Qitai, Xinjiang",China,QTT,43.601,89.682,1780,Asia/Urumqi,2018-01-01,2023-06-19,5.5
san_agustin,"Plains of San Agustín, New Mexico",USA,VLA,34.079,-107.618,2120,America/Denver,2014-12-04,2023-06-18,8.5
sardinia,Sardinia,Italy,"SRT, MISTRAL",39.493,9.245,600,Europe/Rome,2018-01-04,2023-06-18,5.5
south_pole,South Pole,Antarctica,"BICEP2, DASI, GML, Keck, SPT",-90.0,0.0,2835,Antarctica/South_Pole,2006-01-01,2023-06-18,17.5
summit_station,Summit Camp,Greenland,"GML, Summit Station",72.583,-38.455,3202,America/Nuuk,2012-12-28,2023-06-18,10.5
teide,"Mount Teide, Tenerife",Spain,Teide Observatory,28.301,-16.511,2390,Atlantic/Canary,2012-01-01,2023-06-18,11.5
tibet,"Ngari Prefecture, Tibet",China,AliCPT,32.326,80.026,5176,Asia/Shanghai,2012-01-01,2023-06-19,11.5
pico_veleta,"Pico Veleta, Granada",Spain,IRAM,37.066,-3.393,2850,Europe/Madrid,2018-01-01,2023-06-19,5.5
